transaction_id,customer_id,product,transaction_date,quantity,amount
TXN-000362501,CUST-0147322,Standing Desk,2023-04-06,2,1133.36
TXN-000362502,CUST-0392345,USB-C Hub,2023-05-14,4,227.19
TXN-000362503,CUST-0340519,Headphones,2023-05-30,2,249.13
TXN-000362504,CUST-0019991,Power Bank,2024-09-12,1,43.01
TXN-000362505,CUST-0083843,Standing Desk,2024-11-13,2,981.48
TXN-000362506,CUST-0052603,Keyboard,2025-02-16,2,157.61
TXN-000362507,CUST-0137447,Monitor,2023-01-20,1,295.70
TXN-000362508,CUST-0020498,Standing Desk,2025-08-15,1,536.35
TXN-000362509,CUST-0121337,Laptop,2025-07-11,1,1314.68
TXN-000362510,CUST-0488725,Graphics Card,2024-01-21,1,691.87
TXN-000362511,CUST-0068753,Laptop,2024-11-03,5,6158.27
TXN-000362512,CUST-0002786,Office Chair,2024-05-29,1,269.70
TXN-000362513,CUST-0141205,Printer,2024-07-31,3,611.47
TXN-000362514,CUST-0103544,Smart Watch,2024-02-16,4,1180.93
TXN-000362515,CUST-0480600,Graphics Card,2025-04-21,3,1893.71
TXN-000362516,CUST-0028358,Smartphone,2025-02-22,3,2489.67
TXN-000362517,CUST-0032292,Power Bank,2024-06-24,5,
TXN-000362518,CUST-0072161,Tablet,2024-11-10,1,411.52
TXN-000362519,CUST-0193193,Mouse,2025-09-20,3,99.30
TXN-000362520,CUST-0306841,Webcam,2023-09-19,4,253.86
TXN-000362521,CUST-0478257,Office Chair,2025-01-08,4,1045.05
TXN-000362522,CUST-0242411,Laptop,2023-12-03,5,5495.62
TXN-000362523," cust-0102934  ",Headphones,2024-10-28,2,222.62
TXN-000362524,CUST-0161635,Mouse,2024-02-14,5,178.58
TXN-000362525,CUST-0040541,Keyboard,2023-02-14,3,228.16
TXN-000362526,CUST-0066479,Power Bank,2023-03-19,3,128.80
TXN-000362527,CUST-0192504,Mouse,2025-07-18,2,72.94
TXN-000362528,CUST-0065408,Laptop,2024-06-26,4,4325.01
TXN-000362529,CUST-0031720,Tablet,2023-08-22,2,844.79
TXN-000362530,CUST-0442629,USB-C Hub,2023-06-22,5,290.41
TXN-000362531,CUST-0238650,Power Bank,2023-05-27,2,79.56
TXN-000362532,CUST-0063674,Smartphone,2024-12-04,4,3676.42
TXN-000362533,CUST-0278185,Router,2025-03-30,2,204.85
TXN-000362534,CUST-0295420,Mouse,2024-10-15,2,71.49
TXN-000362535,CUST-0493642,Smart Watch,2025-05-07,3,1027.49
TXN-000362536,CUST-0001627,Office Chair,2023-03-10,2,516.74
TXN-000362537,CUST-0265901,Smart Watch,2023-11-07,1,313.27
TXN-000362538,CUST-0468724,External SSD,2024-01-24,4,560.91
TXN-000362539,CUST-0291960,Mouse,2024-07-09,1,38.21
TXN-000362540,CUST-0122889,Webcam,2024-12-02,3,187.10
TXN-000362541,CUST-0000071,Webcam,2023-07-02,3,170.86
TXN-000362542,CUST-0171143,Graphics Card,2025-02-24,3,1934.51
TXN-000362543,CUST-0007041,Webcam,2025-01-06,1,57.76
TXN-000362544,CUST-0046150,Monitor,2025-03-03,2,550.54
TXN-000362545,CUST-0234407,Smartphone,2023-12-07,3,2394.33
TXN-000362546,CUST-0019368,Speaker,2024-11-28,3,514.31
TXN-000362547,CUST-0008569,Router,2023-10-30,2,174.32
TXN-000362548,CUST-0057809,External SSD,2023-07-06,1,126.36
TXN-000362549,CUST-0368318,Keyboard,2023-06-27,5,375.99
TXN-000362550,CUST-0006613,Router,2024-04-18,2,194.24
TXN-000362551,CUST-0414018,Webcam,2024-10-04,5,314.90
TXN-000362552,CUST-0000663,Mouse,2024-10-06,5,174.19
TXN-000362553,CUST-0000935,Monitor,2023-03-07,5,1496.93
TXN-000362554,CUST-0022537,Mouse,2023-12-11,2,68.59
TXN-000362555,CUST-0442583,Smart Watch,2023-01-26,4,1310.65
TXN-000362556,CUST-0135337,Laptop,2024-10-02,2,2587.41
TXN-000362557,CUST-0088205,Monitor,2024-11-22,1,299.89
TXN-000362558,CUST-0500450,Smartphone,2023-10-06,4,3281.56
TXN-000362559,CUST-0011333,Desk Lamp,2024-10-20,1,40.95
TXN-000362560,CUST-0361947,Smartphone,2023-01-11,5,4457.77
TXN-000362561,CUST-0162246,Tablet,2025-03-18,3,1292.57
TXN-000362562,CUST-0226127,Office Chair,2025-04-19,3,803.39
TXN-000362563,CUST-0420489,Printer,2024-02-20,4,880.43
TXN-000362564,CUST-0427092,Webcam,2024-04-19,4,241.80
TXN-000362565,CUST-0407319,Headphones,2024-09-18,3,331.86
TXN-000362566,CUST-0014763,Webcam,2025-08-08,4,231.36
TXN-000362567,CUST-0434934,USB-C Hub,2025-07-20,1,57.25
TXN-000362568,CUST-0028698,Monitor,2023-07-31,5,1415.41
TXN-000362569,CUST-0001313,Power Bank,2023-01-17,1,40.84
TXN-000362570,CUST-0347534,Office Chair,2025-04-13,5,1202.72
TXN-000362571,CUST-0219316,Laptop,2025-07-07,4,4789.93
TXN-000362572,CUST-0035322,Tablet,2024-01-16,2,913.31
TXN-000362573," cust-0078429  ",Office Chair,2023-10-16,5,1246.25
TXN-000362574,CUST-0317850,Power Bank,2024-06-17,4,151.84
TXN-000362575,CUST-0003634,Webcam,2023-10-02,2,124.46
TXN-000362576,CUST-0019853,Tablet,2024-01-05,5,2374.43
TXN-000362577,CUST-0075732,Speaker,2025-06-01,2,359.67
TXN-000362578,CUST-0324663,Monitor,2023-12-11,2,587.93
TXN-000362579,CUST-0018572,Speaker,2024-08-01,5,937.08
