transaction_id,customer_id,product,transaction_date,quantity,amount
TXN-001087501,CUST-0014945,Standing Desk,2024-05-29,5,2794.29
TXN-001087502,CUST-0027285,Printer,2024-02-18,4,913.45
TXN-001087503,CUST-0003813,Keyboard,2023-03-31,3,222.60
TXN-001087504,CUST-0144544,Speaker,2023-08-27,2,357.39
TXN-001087505,CUST-0001142,External SSD,2023-03-15,3,415.43
TXN-001087506,CUST-0111087,Router,2024-02-17,3,292.84
TXN-001087507,CUST-0085596,Standing Desk,2024-08-30,1,591.56
TXN-001087508,CUST-0026736,Office Chair,2023-05-15,3,746.94
TXN-001087509,CUST-0087137,Graphics Card,2025-02-06,5,3508.48
TXN-001087510,CUST-0075693,Tablet,2023-01-13,4,1776.57
TXN-001087511,CUST-0154082,Graphics Card,2023-01-14,1,759.50
TXN-001087512,CUST-0295541,Monitor,2024-09-01,5,1520.61
TXN-001087513,CUST-0203082,Monitor,2025-05-24,1,270.43
TXN-001087514,CUST-0000010,Headphones,2024-12-29,5,658.77
TXN-001087515,CUST-0225645,Desk Lamp,2024-07-15,2,90.85
TXN-001087516,CUST-0001110,Desk Lamp,2025-04-02,4,164.63
TXN-001087517,CUST-0166666,External SSD,2023-02-05,1,133.73
TXN-001087518,CUST-0491483,Router,2024-08-13,5,488.03
TXN-001087519,CUST-0074773,Webcam,2025-02-07,4,232.68
TXN-001087520,CUST-0011332,Graphics Card,2023-04-29,1,725.76
TXN-001087521,CUST-0374636,Mouse,2024-04-08,4,143.76
TXN-001087522,CUST-0130250,Router,2023-05-12,2,188.03
TXN-001087523," cust-0452134  ",Standing Desk,2023-07-03,4,2197.12
TXN-001087524,CUST-0223605,Mouse,2025-06-04,5,179.03
TXN-001087525,CUST-0079446,Headphones,2025-07-12,5,567.11
TXN-001087526,CUST-0296192,Webcam,2024-12-13,4,219.27
TXN-001087527,CUST-0019431,Office Chair,2024-08-05,4,1128.25
TXN-001087528,CUST-0031289,Graphics Card,2023-03-21,5,3534.29
TXN-001087529,CUST-0041104,Tablet,2023-07-01,1,462.96
TXN-001087530,CUST-0006507,External SSD,2024-07-17,1,136.37
TXN-001087531,CUST-0492805,Webcam,2025-01-08,2,118.80
TXN-001087532,CUST-0006712,Office Chair,2025-07-27,1,241.09
TXN-001087533,CUST-0091002,Power Bank,2023-08-18,4,148.14
TXN-001087534,CUST-0005148,Standing Desk,2025-08-30,4,2156.97
TXN-001087535,CUST-0080610,Webcam,2023-02-16,5,274.04
TXN-001087536,CUST-0012388,Office Chair,2025-08-23,3,766.06
TXN-001087537,CUST-0001550,Speaker,2023-12-16,4,651.07
TXN-001087538,CUST-0063940,Keyboard,2023-08-19,4,315.77
TXN-001087539,CUST-0000064,Tablet,2023-09-09,5,2400.26
TXN-001087540,CUST-0075967,Power Bank,2025-07-10,1,41.13
TXN-001087541,CUST-0199101,Printer,2024-10-17,4,854.62
TXN-001087542,CUST-0010441,Router,2023-02-12,1,97.30
TXN-001087543,CUST-0033246,Standing Desk,2023-09-07,4,2143.80
TXN-001087544,CUST-0068436,Headphones,2023-03-27,5,636.90
TXN-001087545,CUST-0213761,Monitor,2025-04-07,5,1622.66
TXN-001087546,CUST-0132056,Power Bank,2023-01-14,5,212.00
TXN-001087547,CUST-0146508,USB-C Hub,2023-07-26,5,252.79
TXN-001087548,CUST-0149462,External SSD,2024-12-02,1,141.40
TXN-001087549,CUST-0260948,Webcam,2024-10-20,1,54.44
TXN-001087550,CUST-0000397,Smartphone,2023-11-28,2,1750.90
TXN-001087551,CUST-0126916,Headphones,2023-01-10,4,
TXN-001087552,CUST-0023378,Webcam,2024-06-26,3,177.87
TXN-001087553,CUST-0147399,Printer,2025-01-08,3,575.92
TXN-001087554,CUST-0286816,Smartphone,2023-12-09,2,1534.21
TXN-001087555,CUST-0283648,Webcam,2024-04-23,2,131.44
TXN-001087556,CUST-0022806,Standing Desk,2024-03-27,2,1067.92
TXN-001087557,CUST-0406314,Power Bank,2023-03-24,2,84.75
TXN-001087558,CUST-0159952,Headphones,2024-07-28,5,560.52
TXN-001087559,CUST-0091344,Microphone,2023-11-15,5,616.11
TXN-001087560,CUST-0036927,Graphics Card,2024-02-05,5,3539.14
TXN-001087561,CUST-0043389,Webcam,2024-03-08,1,60.58
TXN-001087562,CUST-0056910,Power Bank,2023-01-11,2,84.12
TXN-001087563,CUST-0000090,Speaker,2024-01-23,5,831.87
TXN-001087564,CUST-0236460,Router,2024-05-19,5,501.11
TXN-001087565,CUST-0006268,Graphics Card,2024-12-17,2,1269.73
TXN-001087566,CUST-0002751,Office Chair,2025-05-18,4,983.74
TXN-001087567,CUST-0333711,External SSD,2024-11-17,3,382.32
TXN-001087568,CUST-0003479,External SSD,2024-02-03,3,397.48
TXN-001087569,CUST-0361809,Speaker,2025-02-19,5,875.44
TXN-001087570,CUST-0250499,USB-C Hub,2025-08-15,1,57.73
TXN-001087571,CUST-0005359,Keyboard,2024-11-12,2,137.86
TXN-001087572,CUST-0330007,Headphones,2024-12-16,3,391.24
TXN-001087573," cust-0081308  ",Smart Watch,2023-02-09,1,298.17
TXN-001087574,CUST-0023386,Keyboard,2025-01-04,2,147.24
TXN-001087575,CUST-0052908,USB-C Hub,2024-09-20,5,258.44
TXN-001087576,CUST-0383644,Microphone,2023-11-01,1,134.10
TXN-001087577,CUST-0010940,Power Bank,2024-08-21,3,113.17
TXN-001087578,CUST-0217729,Webcam,2023-01-28,1,64.06
TXN-001087579,CUST-0418066,Speaker,2024-11-19,4,679.71
TXN-001087580,CUST-0063186,USB-C Hub,2023-07-17,5,300.43
TXN-001087581,CUST-0010786,Tablet,2024-08-22,4,1948.37
TXN-001087582,CUST-0146551,Router,2025-05-16,3,307.35
TXN-001087583,CUST-0026221,Standing Desk,2024-12-29,2,1004.91
TXN-001087584,CUST-0442043,Graphics Card,2023-12-19,2,1443.36
TXN-001087585,CUST-0134597,Power Bank,2024-03-09,1,39.04
TXN-001087586,CUST-0000001,Office Chair,2025-01-06,4,970.30
TXN-001087587,CUST-0278238,External SSD,2024-07-28,1,137.46
TXN-001087588,CUST-0405840,Smartphone,2024-03-29,4,3560.54
TXN-001087589,CUST-0494533,Mouse,2023-10-12,1,32.11
TXN-001087590,CUST-0000081,Webcam,2024-11-04,1,62.14
TXN-001087591,CUST-0091584,Laptop,2023-09-09,2,2474.72
TXN-001087592,CUST-0000803,Router,2025-07-10,3,292.07
TXN-001087593,CUST-0281445,Monitor,2023-04-06,2,608.20
TXN-001087594,CUST-0090855,Printer,2023-03-04,4,875.45
TXN-001087595,CUST-0014636,Microphone,2023-10-22,2,242.19
TXN-001087596,CUST-0070415,Headphones,2023-09-24,1,120.22
TXN-001087597,CUST-0406728,Laptop,2023-11-05,3,3756.16
TXN-001087598,CUST-0131526,Power Bank,2024-12-22,1,41.94
TXN-001087599,CUST-0285518,Desk Lamp,2024-01-12,3,141.56
TXN-001087600,CUST-0102648,Smartphone,2024-11-24,2,1605.47
TXN-001087600,CUST-0102648,Smartphone,2024-11-24,2,1605.47
TXN-001087601,CUST-0412954,Tablet,2024-05-20,2,973.96
TXN-001087602,CUST-0033746,Graphics Card,2025-01-21,3,1948.84
TXN-001087603,CUST-0009299,Headphones,2024-07-25,5,560.42
TXN-001087604,CUST-0029641,Office Chair,2023-12-09,2,516.06
TXN-001087605,CUST-0311762,Monitor,2024-01-25,5,1559.83
TXN-001087606,CUST-0272046,External SSD,2023-02-08,4,590.03
TXN-001087607,CUST-0158885,Router,2023-12-07,2,191.98
TXN-001087608,CUST-0149407,Printer,2024-09-06,5,1151.55
