transaction_id,customer_id,product,transaction_date,quantity,amount
TXN-002537501,CUST-0163797,Power Bank,2023-03-03,3,127.49
TXN-002537502,CUST-0119199,Tablet,2023-08-17,5,2260.86
TXN-002537503,CUST-0362850,Printer,2024-09-05,3,634.81
TXN-002537504,CUST-0020844,Mouse,2023-01-31,4,142.60
TXN-002537505,CUST-0275297,Standing Desk,2025-03-05,2,1133.10
TXN-002537506,CUST-0203358,Webcam,2024-08-25,1,64.61
TXN-002537507,CUST-0029859,Tablet,2025-07-05,1,463.94
TXN-002537508,CUST-0000003,Graphics Card,2024-07-23,5,3240.72
TXN-002537509,CUST-0011621,USB-C Hub,2024-11-19,2,109.23
TXN-002537510,CUST-0053393,Standing Desk,2023-04-12,1,574.72
TXN-002537511,CUST-0399679,Standing Desk,2025-04-02,3,1587.88
TXN-002537512,CUST-0183917,Speaker,2024-06-27,1,164.78
TXN-002537513,CUST-0267155,Mouse,2023-09-05,3,104.16
TXN-002537514,CUST-0433362,Headphones,2024-08-01,4,439.70
TXN-002537515,CUST-0056529,Microphone,2023-04-19,3,395.13
TXN-002537516,CUST-0370961,Webcam,2025-01-07,2,124.70
TXN-002537517,CUST-0179031,Microphone,2023-10-05,4,552.25
TXN-002537518,CUST-0169918,Webcam,2024-10-27,4,244.44
TXN-002537519,CUST-0020595,Webcam,2023-09-22,1,55.97
TXN-002537520,CUST-0484813,Printer,2025-06-27,1,195.05
TXN-002537521,CUST-0003620,Mouse,2024-01-01,2,66.35
TXN-002537522,CUST-0015454,Smartphone,2024-08-05,3,2434.19
TXN-002537523," cust-0242699  ",Monitor,2024-09-10,2,542.85
TXN-002537524,CUST-0092552,Laptop,2023-01-02,3,3250.90
TXN-002537525,CUST-0061886,Standing Desk,2024-11-06,2,1166.49
TXN-002537526,CUST-0021442,Speaker,2025-06-23,2,386.01
TXN-002537527,CUST-0022179,Graphics Card,2024-05-22,1,630.54
TXN-002537528,CUST-0420218,Tablet,2025-09-14,4,1704.24
TXN-002537529,CUST-0308012,Desk Lamp,2024-03-09,4,181.35
TXN-002537530,CUST-0185792,Microphone,2023-07-09,3,403.53
TXN-002537531,CUST-0294207,Office Chair,2023-07-14,5,1186.26
TXN-002537532,CUST-0108030,Laptop,2024-11-15,3,3877.44
TXN-002537533,CUST-0014150,Tablet,2023-11-15,5,2341.22
TXN-002537534,CUST-0032362,Printer,2023-03-07,1,195.52
TXN-002537535,CUST-0092827,Smartphone,2023-09-11,4,3119.57
TXN-002537536,CUST-0293400,Desk Lamp,2024-02-28,3,143.09
TXN-002537537,CUST-0149851,Microphone,2024-09-25,3,419.10
TXN-002537538,CUST-0001489,Office Chair,2024-02-27,5,1205.37
TXN-002537539,CUST-0504214,External SSD,2023-07-07,5,694.77
