transaction_id,customer_id,product,transaction_date,quantity,amount
TXN-001812501,CUST-0375960,Tablet,2023-06-20,4,1936.36
TXN-001812502,CUST-0313071,Desk Lamp,2025-07-22,1,44.88
TXN-001812503,CUST-0023220,Speaker,2024-08-15,3,572.66
TXN-001812504,CUST-0036825,Office Chair,2023-12-20,4,1002.87
TXN-001812505,CUST-0000080,Desk Lamp,2024-04-23,2,91.33
TXN-001812506,CUST-0463267,Smartphone,2025-07-19,4,3681.97
TXN-001812507,CUST-0075069,Smartphone,2023-02-14,3,2308.05
TXN-001812508,CUST-0006678,Monitor,2023-09-22,4,1241.24
TXN-001812509,CUST-0229785,Desk Lamp,2023-09-18,1,49.40
TXN-001812510,CUST-0243141,Office Chair,2023-01-01,4,986.65
TXN-001812511,CUST-0058254,Tablet,2025-02-20,4,1646.60
TXN-001812512,CUST-0310111,Power Bank,2024-08-22,1,40.18
TXN-001812513,CUST-0057473,Keyboard,2023-06-19,4,303.37
TXN-001812514,CUST-0259981,External SSD,2024-10-14,4,538.06
TXN-001812515,CUST-0117257,Headphones,2025-08-15,1,119.55
TXN-001812516,CUST-0001933,Standing Desk,2025-08-19,3,1705.09
TXN-001812517,CUST-0303966,Mouse,2023-08-15,3,105.05
TXN-001812518,CUST-0352671,Printer,2024-12-09,4,762.60
TXN-001812519,CUST-0381926,Router,2023-06-15,1,99.13
TXN-001812520,CUST-0046037,Smart Watch,2023-08-12,5,1651.67
TXN-001812521,CUST-0052729,Smartphone,2024-10-31,3,2557.16
TXN-001812522,CUST-0000004,Keyboard,2024-10-07,1,78.09
TXN-001812523," cust-0351285  ",Webcam,2023-04-04,5,329.41
TXN-001812524,CUST-0506794,Webcam,2025-08-17,3,195.95
TXN-001812525,CUST-0022946,Webcam,2024-10-21,3,177.79
TXN-001812526,CUST-0452343,Microphone,2023-01-09,2,259.70
TXN-001812527,CUST-0342504,Microphone,2023-12-29,1,140.49
TXN-001812528,CUST-0062351,Router,2024-02-12,2,182.17
TXN-001812529,CUST-0059171,Headphones,2025-06-27,3,394.19
TXN-001812530,CUST-0039521,Smart Watch,2023-11-18,1,300.05
TXN-001812531,CUST-0064568,Graphics Card,2025-01-01,2,1285.96
TXN-001812532,CUST-0039316,Graphics Card,2024-08-03,1,648.27
TXN-001812533,CUST-0009693,USB-C Hub,2023-04-09,1,54.52
TXN-001812534,CUST-0001365,Smartphone,2023-06-25,1,859.31
TXN-001812535,CUST-0195876,Keyboard,2024-03-19,5,364.48
TXN-001812536,CUST-0105895,Headphones,2025-08-24,2,244.00
TXN-001812537,CUST-0002699,Speaker,2024-01-27,4,658.04
TXN-001812538,CUST-0377755,Power Bank,2025-08-16,2,77.64
TXN-001812539,CUST-0407603,Microphone,2025-01-13,3,357.68
TXN-001812540,CUST-0170743,Webcam,2025-03-25,4,233.14
TXN-001812541,CUST-0116187,Tablet,2024-01-05,1,480.98
TXN-001812542,CUST-0259044,Microphone,2024-04-08,2,247.01
TXN-001812543,CUST-0009939,Headphones,2024-04-24,2,220.80
TXN-001812544,CUST-0164469,Laptop,2023-12-08,5,5861.26
TXN-001812545,CUST-0003337,Speaker,2024-05-26,2,354.54
TXN-001812546,CUST-0467282,Laptop,2024-09-08,1,1249.60
TXN-001812547,CUST-0022305,Headphones,2023-03-11,1,110.10
TXN-001812548,CUST-0226436,Desk Lamp,2024-09-20,1,48.39
TXN-001812549,CUST-0421890,Router,2025-01-14,1,95.47
TXN-001812550,CUST-0003678,Graphics Card,2023-04-18,2,1303.86
TXN-001812551,CUST-0017320,Printer,2024-07-13,2,437.83
TXN-001812552,CUST-0266837,Graphics Card,2025-08-21,1,722.31
TXN-001812553,CUST-0045891,Tablet,2023-05-30,3,1368.25
TXN-001812554,CUST-0039705,Headphones,2023-12-21,3,341.03
TXN-001812555,CUST-0206407,Printer,2024-09-04,3,683.91
TXN-001812556,CUST-0000198,Webcam,2025-03-12,5,317.63
TXN-001812557,CUST-0026464,Printer,2023-01-03,3,586.27
TXN-001812558,CUST-0051142,Keyboard,2025-01-30,5,352.22
TXN-001812559,CUST-0350754,Office Chair,2025-04-12,1,283.83
TXN-001812560,CUST-0451383,Mouse,2023-11-29,5,170.23
TXN-001812561,CUST-0412348,Graphics Card,2024-12-10,2,1497.75
TXN-001812562,CUST-0164886,Speaker,2023-06-20,4,664.34
TXN-001812563,CUST-0316046,Headphones,2023-06-18,1,109.52
TXN-001812564,CUST-0172471,Smart Watch,2023-09-21,4,1198.15
TXN-001812565,CUST-0014202,Standing Desk,2023-07-20,4,2332.98
TXN-001812566,CUST-0001552,Printer,2023-07-02,3,644.48
TXN-001812567,CUST-0267715,Office Chair,2025-07-15,5,1342.64
TXN-001812568,CUST-0050831,Router,2024-06-11,3,265.71
TXN-001812569,CUST-0288570,Office Chair,2024-04-22,4,996.85
TXN-001812570,CUST-0041484,Smartphone,2024-02-13,5,4213.42
TXN-001812571,CUST-0019476,External SSD,2024-05-04,3,405.51
TXN-001812572,CUST-0183008,Laptop,2023-09-21,2,2298.79
TXN-001812573," cust-0050593  ",Mouse,2024-09-16,5,170.35
TXN-001812574,CUST-0011258,Laptop,2025-02-15,4,4331.03
TXN-001812575,CUST-0318649,Headphones,2025-07-10,2,261.45
TXN-001812576,CUST-0410123,Laptop,2023-01-26,5,5769.54
TXN-001812577,CUST-0483832,Desk Lamp,2024-02-18,3,145.60
TXN-001812578,CUST-0095308,Smartphone,2023-01-19,1,905.33
TXN-001812579,CUST-0089122,Headphones,2023-04-05,2,250.98
TXN-001812580,CUST-0089712,Router,2024-02-09,5,498.02
TXN-001812581,CUST-0380426,Desk Lamp,2024-03-26,5,236.54
TXN-001812582,CUST-0127554,Power Bank,2023-02-02,5,214.50
TXN-001812583,CUST-0425404,Printer,2025-01-14,3,659.04
TXN-001812584,CUST-0039984,Monitor,2024-09-16,2,565.41
TXN-001812585,CUST-0081975,Mouse,2024-11-17,3,
TXN-001812586,CUST-0004825,Tablet,2024-07-30,3,1251.98
TXN-001812587,CUST-0225652,Power Bank,2024-10-29,5,210.93
TXN-001812588,CUST-0292321,Router,2024-01-03,1,92.59
TXN-001812589,CUST-0009459,Router,2025-01-05,1,86.51
TXN-001812590,CUST-0158596,Router,2025-01-30,2,186.00
TXN-001812591,CUST-0180977,Keyboard,2024-12-30,1,79.24
TXN-001812592,CUST-0123200,Keyboard,2023-03-13,1,69.80
TXN-001812593,CUST-0359797,Smart Watch,2025-01-18,1,317.35
TXN-001812594,CUST-0427274,Keyboard,2024-04-10,1,78.65
TXN-001812595,CUST-0067107,Keyboard,2023-02-08,4,302.58
TXN-001812596,CUST-0297324,Smart Watch,2023-11-30,1,317.39
TXN-001812597,CUST-0058078,Microphone,2024-04-13,3,362.60
TXN-001812598,CUST-0193087,Smart Watch,2024-08-25,2,683.96
TXN-001812599,CUST-0017797,Printer,2023-11-03,4,866.12
TXN-001812600,CUST-0419138,Keyboard,2023-01-24,2,161.94
TXN-001812600,CUST-0419138,Keyboard,2023-01-24,2,161.94
TXN-001812601,CUST-0021535,Printer,2024-04-29,4,869.33
TXN-001812602,CUST-0161338,Webcam,2024-08-03,5,278.80
TXN-001812603,CUST-0280106,Keyboard,2024-08-03,1,72.11
TXN-001812604,CUST-0002791,Laptop,2023-03-31,3,3349.86
TXN-001812605,CUST-0335365,Mouse,2023-11-01,2,76.97
TXN-001812606,CUST-0208301,Keyboard,2025-09-15,3,220.13
TXN-001812607,CUST-0403329,Standing Desk,2024-09-01,3,1589.21
TXN-001812608,CUST-0079329,Router,2023-07-15,3,285.22
TXN-001812609,CUST-0290792,Graphics Card,2023-05-19,4,3069.61
TXN-001812610,CUST-0148693,Monitor,2023-12-16,4,1243.50
TXN-001812611,CUST-0188947,Router,2023-06-17,3,312.15
TXN-001812612,CUST-0001050,Monitor,2024-10-14,3,977.23
TXN-001812613,CUST-0393972,Laptop,2024-04-09,2,2232.44
TXN-001812614,CUST-0001337,Desk Lamp,2025-09-20,1,43.43
TXN-001812615,CUST-0156982,Headphones,2025-09-24,3,395.36
TXN-001812616,CUST-0373404,Microphone,2025-02-25,4,503.55
TXN-001812617,CUST-0037973,USB-C Hub,2023-09-10,1,55.27
TXN-001812618,CUST-0003432,Laptop,2023-11-15,3,3839.94
TXN-001812619,CUST-0192016,Mouse,2025-02-14,2,67.28
TXN-001812620,CUST-0004639,Printer,2023-02-19,1,211.54
TXN-001812621,CUST-0439233,Headphones,2023-04-28,4,498.87
TXN-001812622,CUST-0045488,Office Chair,2024-06-21,3,713.17
TXN-001812623," cust-0115596  ",Smartphone,2025-04-07,3,2358.23
TXN-001812624,CUST-0225525,Desk Lamp,2024-10-31,5,223.80
TXN-001812625,CUST-0462528,Laptop,2025-08-16,4,4942.10
TXN-001812626,CUST-0450569,Microphone,2025-08-24,4,511.66
TXN-001812627,CUST-0024060,Mouse,2024-05-11,4,129.52
TXN-001812628,CUST-0084190,Smart Watch,2023-08-13,1,312.59
TXN-001812629,CUST-0001407,Tablet,2023-09-23,3,1322.53
TXN-001812630,CUST-0051535,Power Bank,2023-03-27,4,167.85
TXN-001812631,CUST-0229500,Monitor,2023-12-10,2,547.59
TXN-001812632,CUST-0030508,Speaker,2023-01-18,1,190.95
TXN-001812633,CUST-0202421,Tablet,2024-05-17,4,1898.34
TXN-001812634,CUST-0012320,Desk Lamp,2023-07-22,3,145.09
TXN-001812635,CUST-0134410,Speaker,2024-04-21,3,576.18
TXN-001812636,CUST-0385608,External SSD,2025-08-14,5,742.90
TXN-001812637,CUST-0320243,Speaker,2023-06-02,2,333.88
TXN-001812638,CUST-0001063,Office Chair,2023-09-25,5,1335.05
TXN-001812639,CUST-0045028,Microphone,2023-11-16,4,560.94
TXN-001812640,CUST-0365026,Office Chair,2023-03-02,3,771.87
TXN-001812641,CUST-0352918,External SSD,2024-06-19,3,448.45
TXN-001812642,CUST-0074335,Desk Lamp,2025-02-10,3,124.40
TXN-001812643,CUST-0125299,External SSD,2024-11-20,3,390.36
TXN-001812644,CUST-0285787,Keyboard,2023-10-23,1,76.05
TXN-001812645,CUST-0113291,Laptop,2024-03-16,2,2315.19
TXN-001812646,CUST-0029498,Printer,2024-09-15,4,854.33
TXN-001812647,CUST-0007701,Graphics Card,2023-01-26,5,3522.26
TXN-001812648,CUST-0083970,Keyboard,2023-02-11,5,377.99
TXN-001812649,CUST-0439885,Keyboard,2023-08-04,1,78.51
TXN-001812650,CUST-0067671,Smart Watch,2025-06-08,3,1015.48
TXN-001812651,CUST-0481776,External SSD,2024-06-09,1,149.28
TXN-001812652,CUST-0071057,Standing Desk,2023-11-01,1,574.43
TXN-001812653,CUST-0171078,Keyboard,2023-09-24,2,156.29
TXN-001812654,CUST-0424476,Printer,2023-08-05,5,1023.77
TXN-001812655,CUST-0221469,Monitor,2024-04-18,4,1102.86
TXN-001812656,CUST-0460473,Monitor,2025-06-08,2,589.97
TXN-001812657,CUST-0165302,Office Chair,2025-07-31,5,1224.68
TXN-001812658,CUST-0255172,Smart Watch,2024-09-26,4,1168.20
TXN-001812659,CUST-0409031,Smartphone,2024-10-08,4,3392.39
TXN-001812660,CUST-0325036,Keyboard,2025-06-17,4,309.29
TXN-001812661,CUST-0239598,Office Chair,2024-07-22,1,274.20
TXN-001812662,CUST-0001689,Keyboard,2024-03-07,2,157.13
TXN-001812663,CUST-0099240,Mouse,2023-05-22,2,67.18
TXN-001812664,CUST-0023464,Router,2025-03-11,3,273.14
