transaction_id,customer_id,product,transaction_date,quantity,amount
TXN-000000001,CUST-0020271,Webcam,2024-11-20,5,287.75
TXN-000000002,CUST-0003118,Speaker,2025-05-09,5,944.11
TXN-000000003,CUST-0290186,Headphones,2025-01-15,3,383.68
TXN-000000004,CUST-0450360,Router,2024-03-06,5,449.16
TXN-000000005,CUST-0035142,Microphone,2024-07-31,2,247.91
TXN-000000006,CUST-0073324,Keyboard,2023-08-18,1,79.75
TXN-000000007,CUST-0311504,Laptop,2025-02-27,2,2438.82
TXN-000000008,CUST-0302345,Router,2024-02-17,1,94.16
TXN-000000009,CUST-0356698,Monitor,2023-12-11,3,878.45
TXN-000000010,CUST-0100803,Webcam,2023-11-27,4,236.60
TXN-000000011,CUST-0284132,Router,2024-09-12,2,195.61
TXN-000000012,CUST-0101431,Printer,2023-05-21,1,228.77
TXN-000000013,CUST-9000013,Smart Watch,2023-01-28,3,880.46
TXN-000000014,CUST-0471364,Desk Lamp,2024-06-09,5,209.42
TXN-000000015,CUST-0007875,Tablet,2024-11-05,2,891.51
TXN-000000016,CUST-0000964,External SSD,2025-05-14,5,761.95
TXN-000000017,CUST-0089458,Smart Watch,2023-12-09,4,1306.51
TXN-000000018,CUST-0006536,Power Bank,2023-01-16,5,211.25
TXN-000000019,CUST-0251735,Monitor,2023-01-22,5,1549.21
TXN-000000020,CUST-0386336,Laptop,2025-04-10,1,1109.85
TXN-000000021,CUST-0149183,Office Chair,2024-09-12,4,989.80
TXN-000000022,CUST-0468245,Microphone,2024-04-18,3,395.21
TXN-000000023," cust-0338490  ",Monitor,2023-11-09,4,1217.79
TXN-000000024,CUST-0442903,Headphones,2024-01-09,5,562.96
TXN-000000025,CUST-0003446,Keyboard,2024-05-09,1,70.37
TXN-000000026,CUST-0498415,Speaker,2025-05-21,5,951.09
TXN-000000027,CUST-0199473,Router,2024-03-31,3,285.01
TXN-000000028,CUST-0102991,Desk Lamp,2024-02-17,4,170.22
TXN-000000029,CUST-0067572,Graphics Card,2024-05-01,3,1952.39
TXN-000000030,CUST-0074905,Laptop,2023-01-29,4,5162.93
TXN-000000031,CUST-0115255,Headphones,2023-11-10,5,602.40
TXN-000000032,CUST-0248128,External SSD,2024-06-07,2,295.20
TXN-000000033,CUST-0204066,Laptop,2023-02-22,1,1106.93
TXN-000000034,CUST-0438646,Keyboard,2024-01-28,4,320.52
TXN-000000035,CUST-0006549,Keyboard,2025-01-08,4,305.09
TXN-000000036,CUST-0357888,Webcam,2024-05-21,5,326.35
TXN-000000037,CUST-0169351,Router,2025-01-08,4,412.11
TXN-000000038,CUST-0187201,Desk Lamp,2024-10-13,3,130.99
TXN-000000039,CUST-0141890,Router,2025-03-21,1,89.33
TXN-000000040,CUST-0003014,Tablet,2024-03-12,5,2343.78
TXN-000000041,CUST-0264370,Headphones,2023-08-16,5,555.57
TXN-000000042,CUST-0381950,USB-C Hub,2024-01-13,2,103.85
TXN-000000043,CUST-0068067,Keyboard,2023-04-28,4,315.50
TXN-000000044,CUST-0449519,Graphics Card,2024-11-10,4,2992.52
TXN-000000045,CUST-0001384,External SSD,2023-03-02,1,131.65
TXN-000000046,CUST-0000018,Microphone,2023-09-09,3,423.75
TXN-000000047,CUST-0239537,Headphones,2023-04-27,3,331.60
TXN-000000048,CUST-0114046,Mouse,2025-02-17,3,99.02
TXN-000000049,CUST-0090565,Mouse,2023-01-31,1,31.75
